"id","title","vote_average","vote_count","status","release_date","revenue","runtime","adult","backdrop_path","budget","homepage","imdb_id","original_language","original_title","overview","popularity","poster_path","tagline","genres","production_companies","production_countries","spoken_languages"
"56702","The Undertaker and His Pals","4.635","26","Released","1966-07-01","0","63","False","/zUYzUl4Gnro8R05iWIbQmrpXOPZ.jpg","0","","tt0061140","en","The Undertaker and His Pals","An undertaker befriends a pair of motorcycle-riding, knife-wielding, psycho restaurant owners who kill people for body parts to use in their blue-plate daily specials.","2.844","/1jTMa1COl2XcSzTGPZvMYIvl0T4.jpg","A macabre story of two motorcycle-riding, knife-wielding, shiv-shaving, eye-gouging, arm-twisting, chain-lashing, scalpel-flashing, acid-throwing, gun-shooting, bone-breaking, pathological nuts and their pal the UNDERTAKER...","Comedy, Horror","Eola Pictures","United States of America","English"
"75712","Isenhart: The Hunt Is on for Your Soul","6.846","26","Released","2011-10-03","0","123","False","/bgqNb4DWmz2CBnuXyx2jRO4gvot.jpg","0","","tt1650413","de","Isenhart - Die Jagd nach dem Seelenfänger","In the middle of century XII much of the European territory is ruled by the Holy Roman Empire and violence and cruelty are the order of the day. Several German regions are terrorized by a dangerous murderer who is dedicated to kill young girls. Therefore, Isanhart and Laurin, his faithful companion in arms, will travel from end to end of the old continent to hunt the ruthless criminal.","4.267","/lMwEH4JlkUCRDfIJn7in9AOHtlp.jpg","","TV Movie, Thriller, Adventure, Fantasy","Ninety-Minute Film, Dor Film-West Produktionsgesellschaft, ProSiebenSat1 Produktion","Austria, Germany","German"
"21505","The Haunted Airman","5.038","26","Released","2006-10-31","0","68","False","/mUZfZf8Doaxka3hsQDOqDUUWL0g.jpg","0","","tt0810892","en","The Haunted Airman","An injured RAF pilot, confined to a wheelchair is committed to an eerie hospital where he starts to loose his mind.","3.327","/71PbHyrUdowV9HhW7fixWAPwH2l.jpg","","Drama, Thriller, Horror, TV Movie","BBC","United Kingdom","English"
"74081","Devil Story","4.75","26","Released","1986-11-26","0","76","False","/gZCoXWJBKv7LWvD9SVYrgL7Hex0.jpg","0","","tt0233004","fr","Devil Story: Il était une fois le Diable","After their car breaks down in the French countryside, a young couple must fend off a Nazi mutant and his gypsy mother, a mummy, and a possessed horse.","1.671","/gEwHKyYappxvC7q5c2ryR9WQmS.jpg","","Horror, Fantasy","Condor Films","France","French"
"36242","Blues Harp","6.9","26","Released","1998-07-15","0","107","False","/1TNk0O3QnPZXdZQ1CtVk4Cj2Epc.jpg","0","","tt0303780","ja","Blues Harp","Ambitious yakuza Kenji befriends harmonica-playing bartender Chuji, who moonlights as a part-time drug-dealer for the opposing gang. Their friendship is threatened by Kenji's plans for advancement, as well as by his bodyguards growing jealousy of Chuji.","3.696","/baTChr7lU6dDleINF61TPfe56J6.jpg","","Crime, Drama","MAC","Japan","Japanese"
"474206","The Night I Swam","6.4","26","Released","2018-05-02","0","79","False","/vimYYdFyFODmpTbGdkZkUw5gQqS.jpg","0","","tt7336012","ja","泳ぎすぎた夜","Snow covered mountains in Japan. Every night, a fisherman makes his way to the market in town.  His 6 year old son is awoken by his departure and finds it impossible to fall back to sleep. In the sleeping household, the young boy draws a picture he then slips into his satchel. On his way to school, still drowsy, he strays off the path and wanders into the snow...","1.635","/dFAz97rEy9rt4SbwcFhMfKvsW5c.jpg","","Drama","MLD Films, Shellac Sud, Nobo, La Région Île-de-France","France, Japan","No Language"
"12221","Two Drifters","6.2","26","Released","2005-05-18","0","101","False","/cqRtRIiG7CeUOZioclZzxnMBzPX.jpg","0","","tt0450470","pt","Odete","After breaking up with her boyfriend, a woman named Odete descends into madness and claims to be pregnant with the child of her neighbour Pedro, who died in a car crash and is mourned by his boyfriend Rui.","2.521","/1JiLP1UuluW12k10asgdWeO6uyV.jpg","","Drama","Rosa Filmes","Portugal","Portuguese"
"58487","The Strategy of Failure","6.269","26","Released","2001-11-20","0","58","False","/kTF0OCQzVxbS2M6tocr7Xnw7qP8.jpg","0","","tt0365797","fr","La Stratégie de l'échec","My various experiences in the field of failure have allowed me to highlight specific areas in which it is crucial to get disorganized and to recognize the steps to be taken to end in ineffective management. This sentence is totally incomprehensible. It's normal. The longer the sentences, the less we understand them. It is the strategy of failure. To help us understand the failure and illustrate this video, we will need two men who we will call Luc for further misunderstanding. We will also need a woman whom we will call Sylvie for hygiene reasons.","1.647","/iJiVmex6FmNBhjQoeUGunEbSsk6.jpg","","Comedy","StudioCanal","France","French"
"36221","Postman Blues","7.385","26","Released","1997-08-16","0","110","False","/4c02cUfGgvlntxXzqpZQ3GNl4vH.jpg","0","","tt0119926","ja","ポストマン・ブルース","Sawaki is a postman who's not quite thrilled about his boring way of life. But his life is about to change when he delivers mail to his old schoolmate Noguchi, who's now a member of the Yakuza, the Japanese Mafia, and just finished cutting his little finger off.","7.484","/1Cx5vhNDL2EojrqpwO129ycaiMu.jpg","","Crime, Drama, Comedy, Romance, Thriller","TV Tokyo, Nikkatsu Corporation, Suplex","Japan","Japanese"
"21513","Moon Child","5.538","26","Released","2003-04-19","0","120","False","/oCMqNtCtQkhWiwHmSAOWDd5lXMG.jpg","0","","tt0365514","ja","ムーンチャイルド","Moon Child follows a group of childhood friends as they advance in a futuristic criminal underworld. Sho feels he is doomed to walk in his idol Kei's footsteps as a vampire with the gift of eternal life and the curse of blood thirst. Over time, their tight friendship becomes corrupted because of their rivalry and love for the same woman.","3.92","/eNw31trM3ZrdY4yYEv2hP4uEp8x.jpg","","Horror, Action, Thriller, Science Fiction, Drama","Mainichi Shinbunsha, Culture Publishers, Twins Japan, Shochiku, WOWOW","Japan, United States of America","Japanese"
"74216","The Mandrake","6.0","26","Released","1965-11-18","0","97","False","/53CldUCnr9ZlFv94ND3Tkp3U3sW.jpg","0","","tt0059424","it","La mandragola","A young man hatches a plan to sleep with another man's infertile wife. Based on the play by Machiavelli.","4.337","/wmyGwiStPdQvP2TVGnOegaZzRYt.jpg","They go wild about Rosanna Schiaffino","Comedy","Arco Film, Lux Compagnie Cinématographique de France","France, Italy","Italian"
"81724","Laughter in Paradise","6.942","26","Released","1951-06-01","0","97","False","/5Av2Elmpzv66paHmekZos5wVYiK.jpg","0","","tt0043727","en","Laughter in Paradise","When an eccentric practical joker dies, he divides his fortune among four heirs. But before they can collect the cash they must each do something which goes completely against their nature.  NB: This is the film which introduced Audrey Hepburn.","6.564","/9l8NmkbfL0lN0fC6ZqADGxHv1yo.jpg","He sets the whole world laughing ... there's even Laughter in Paradise !","Comedy","Mario Zampi Productions","United Kingdom","English"
"48605","Conflict","7.4","26","Released","1983-01-01","0","7","False","","0","","tt1288381","ru","Конфликт","The heroes of the film: ordinary matches. A quarrel that breaks out over nothing turns into a real battle in which both warring sides are burned.","2.01","/2d83WEoJ3mdxLiAa0M803EWpXt8.jpg","","War, Animation","Soyuzmultfilm","Soviet Union","Russian"
"133248","Padak","7.7","26","Released","2012-07-25","0","78","False","/hWF4upKZOqAQpnMalYsWAvY9bIk.jpg","0","","tt2164058","ko","파닥파닥","A mackerel from the ocean attempts to escape from a restaurant aquarium tank before getting eaten.","4.262","/rRn2prpFPA7Ktkmc22c6WfB1W2Y.jpg","Once you get in here, you are already dead.","Animation, Drama, Thriller, Horror, Music","E-dehi Animation Studio, CJ Entertainment","South Korea","Korean"
"31647","A Nymphoid Barbarian in Dinosaur Hell","3.44","26","Released","1990-12-21","0","82","False","/giYIlMVOAC04l2QHbQdrC4vxW77.jpg","40000","http://www.troma.com/films/a-nymphoid-barbarian-in-dinosaur-hell/","tt0102569","en","A Nymphoid Barbarian in Dinosaur Hell","In a post-Armageddon world, a young woman finds herself in a fight for survival against mutant cavemen, dinosaurs and other prehistoric animals.","2.175","/xqqK3S6Fnbxw5qT1blq7K4QHcq8.jpg","Where the prehistoric meets the prepubescent.","Fantasy, Science Fiction, Horror","Troma Entertainment, Chapter V Enterprises, R.A.P. Productions","United States of America","English"
"774548","Decibel","6.827","26","Released","2022-11-16","6843970","110","False","/vW016VDPIzzEgDzrC19xJ7pAoqg.jpg","8500000","","tt17494686","ko","Desibel","A former Naval officer with a dark past must face off against an insurgent with a sound sensitive bomb.","14.012","/pnqJLYhdZ6NHPe4I3EwicS52GG0.jpg","It will explode if it exceeds 100db.","Action, Drama, Thriller","East Dream Synopex, Mindmark","South Korea","Korean"
"502145","Unlovable","6.019","26","Released","2018-11-01","0","80","False","/iwCBh2UNZwQ3HbfYXtyF0WGieyL.jpg","0","","tt5926990","en","Unlovable","A sex and love addicted woman learns what real intimacy is when she starts making music with a reclusive man.","1.723","/8W54YNDAq3AWHhpVzyN9nkBUlTq.jpg","","Comedy, Drama, Music","Duplass Brothers Productions","United States of America","English"
"957382","Save Our School","5.442","26","Released","2022-09-28","0","94","False","/wOoTnrLBJf7ANF1LfjgwQwtL2PW.jpg","3800000","","tt20249446","fr","La cour des miracles","A delightful and ebullient comedy on Paris’ first suburban “green school”.","1.783","/7XoeOsas43eWRLMIIqHkZcuXt1Q.jpg","","Comedy","France 2, France Télévisions, Haut et Court","France","French"
